senator,portrait,party,born,occupation,previous_elective_offices,assumed_office,term_up,residence,state,age,Laywer,pop_2019
Rick Scott,,Republican,"December 1, 1952","Petty officer third class, U.S. Navy
Lawyer
Columbia/HCA CEO
Venture capitalist",Governor of Florida,"January 8, 2019[j]",2024,Naples[15],Florida,68,1,21477737
Jon Ossoff,,Democratic,"February 16, 1987","Investigative journalist
Documentary film producer
U.S. House staffer",None,"January 20, 2021",2026,Atlanta,Georgia,34,0,10617423
Raphael Warnock,,Democratic,"July 23, 1969",Pastor,None,"January 20, 2021[k]",2022,Atlanta[16],Georgia,51,0,10617423
Brian Schatz,,Democratic,"October 20, 1972","Teacher
Nonprofit organization executive","Lieutenant Governor of Hawaii
Hawaii House of Representatives","December 26, 2012[l]",2022,Honolulu[17],Hawaii,48,0,1415872
Mazie Hirono,,Democratic,"November 3, 1947",Lawyer,"U.S. House
Lieutenant Governor of Hawaii
Hawaii House of Representatives","January 3, 2013",2024,Honolulu[17],Hawaii,73,1,1415872
Mike Crapo,,Republican,"May 20, 1951",Lawyer,"U.S. House
Idaho Senate","January 3, 1999",2022,Idaho Falls[18],Idaho,70,1,1787065
Jim Risch,,Republican,"May 3, 1943","Professor
Rancher
Nonprofit organization executive
Lawyer","Governor of Idaho
Lieutenant Governor of Idaho
Idaho Senate President pro tempore","January 3, 2009",2026,Boise[18],Idaho,78,1,1787065
Dick Durbin,,Democratic,"November 21, 1944","Lawyer
Professor",U.S. House,"January 3, 1997",2026,Springfield[19],Illinois,76,1,12671821
Tammy Duckworth,,Democratic,"March 12, 1968","Army National Guard Officer
Coordinator, Center for Nursing Research, Northern Illinois University.[20]
U.S. Assistant Secretary of Veterans Affairs
Illinois Director of Veterans Affairs",U.S. House,"January 3, 2017",2022,Hoffman Estates[19],Illinois,53,0,12671821
Todd Young,,Republican,"August 24, 1972","Marine Corps Officer
Professor
Consultant
Lawyer",U.S. House,"January 3, 2017",2022,Greenwood[21],Indiana,48,1,6732219
Mike Braun,,Republican,"March 24, 1954",Businessman,"Indiana House of Representatives
Member, Jasper, Indiana School Board","January 3, 2019",2024,Jasper[22],Indiana,67,0,6732219
Chuck Grassley,,Republican,"September 17, 1933","Farmer
College professor","U.S. House
Iowa House of Representatives","January 3, 1981",2022,New Hartford[23],Iowa,87,0,3155070
Joni Ernst,,Republican,"July 1, 1970","Farmer
Army National Guard officer",Iowa Senate,"January 3, 2015",2026,Red Oak[23],Iowa,50,0,3155070
Jerry Moran,,Republican,"May 29, 1954","Banker
Lawyer","U.S. House
Kansas Senate","January 3, 2011",2022,Manhattan[24],Kansas,66,1,2913314
Roger Marshall,,Republican,"August 9, 1960","Doctor
Captain, U.S. Army Reserve",U.S. House,"January 3, 2021",2026,Great Bend,Kansas,60,0,2913314
Mitch McConnell,,Republican,"February 20, 1942","Lawyer
U.S. Senate staff member
Deputy Assistant United States Attorney, U.S. Department of Justice Office of Legislative Affairs","Judge/Executive of Jefferson County, Kentucky","January 3, 1985",2026,Louisville[25],Kentucky,79,1,4467673
Rand Paul,,Republican,"January 7, 1963",Physician specializing in Ophthalmology,None,"January 3, 2011",2022,Bowling Green[25],Kentucky,58,0,4467673
Bill Cassidy,,Republican,"September 28, 1957",Physician,"U.S. House
Louisiana Senate","January 3, 2015",2026,Baton Rouge[26],Louisiana,63,0,4648794
John Kennedy,,Republican,"November 21, 1951","Magazine editor
Lawyer
Professor
Staff of Louisiana Governor Buddy Roemer
Secretary of the Louisiana Department of Revenue",Louisiana Treasurer,"January 3, 2017",2022,Madisonville[26],Louisiana,69,1,4648794
Susan Collins,,Republican,"December 7, 1952","House staffer
Senate staffer
Regional director, Small Business Administration
Deputy Treasurer of Massachusetts",None,"January 3, 1997",2026,Bangor[27],Maine,68,0,1344212
Angus King,,Independent,"March 31, 1944","Lawyer
Senate staffer
Business founder
Corporate executive
Public television news program host",Governor of Maine,"January 3, 2013",2024,Brunswick,Maine,77,1,1344212
Ben Cardin,,Democratic,"October 5, 1943",Lawyer,"U.S. House
Speaker of the Maryland House of Delegates","January 3, 2007",2024,Baltimore[28],Maryland,77,1,6045680
Chris Van Hollen,,Democratic,"January 10, 1959","U.S. Senate staff member
Maryland Governor's legislative advisor
Lawyer","U.S. House
Maryland Senate
Maryland House of Delegates","January 3, 2017",2022,Kensington[28],Maryland,62,1,6045680
Elizabeth Warren,,Democratic,"June 22, 1949","Lawyer
Professor
Research associate
Nonprofit organization executive
COP Chair
CFPB Special Advisor",None,"January 3, 2013",2024,Cambridge[29],Massachusetts,71,1,6892503
Ed Markey,,Democratic,"July 11, 1946","Member, United States Army Reserve
Lawyer","U.S. House
Massachusetts House of Representatives","July 16, 2013[m]",2026,Malden[29],Massachusetts,74,1,6892503
Debbie Stabenow,,Democratic,"April 29, 1950","Social worker
Leadership training consultant","U.S. House
Michigan House of Representatives
Michigan Senate","January 3, 2001",2024,Lansing[31],Michigan,71,0,9986857
Gary Peters,,Democratic,"December 1, 1958","United States Navy Reserve officer
Financial advisor
Lawyer
College professor and lecturer","U.S. House
Michigan Senate","January 3, 2015",2026,Bloomfield Hills[31],Michigan,62,1,9986857
Amy Klobuchar,,Democratic,"May 25, 1960",Lawyer,"Hennepin County, Minnesota County Attorney","January 3, 2007",2024,Minneapolis[32],Minnesota,61,1,5639632
Tina Smith,,Democratic,"March 4, 1958","Public relations consultant
Political campaign manager
Chief of staff to the Mayor of Minneapolis
Chief of staff to the Governor of Minnesota",Lieutenant Governor of Minnesota,"January 3, 2018[n]",2026,Minneapolis[32],Minnesota,63,0,5639632
Roger Wicker,,Republican,"July 5, 1951","U.S. Air Force officer/Judge Advocate
U.S. House staffer
Lawyer","U.S. House
Mississippi Senate","December 31, 2007[o]",2024,Tupelo[34],Mississippi,69,1,2976149
Cindy Hyde-Smith,,Republican,"May 10, 1959",Farmer,"Mississippi Commissioner of Agriculture and Commerce
Mississippi Senate","April 9, 2018[p]",2026,Brookhaven,Mississippi,62,0,2976149
Roy Blunt,,Republican,"January 10, 1950",University president,"U.S. House
Missouri Secretary of State
Greene County, Missouri Clerk","January 3, 2011",2022,Springfield,Missouri,71,0,6137428
Josh Hawley,,Republican,"December 31, 1979","Lawyer
Professor",Attorney General of Missouri,"January 3, 2019",2024,Springfield[35],Missouri,41,1,6137428
Jon Tester,,Democratic,"August 21, 1956","Music teacher
Farmer","Montana Senate President
Big Sandy, Montana School Board","January 3, 2007",2024,Big Sandy,Montana,64,0,1068778
Steve Daines,,Republican,"August 20, 1962",Businessman,U.S. House,"January 3, 2015",2026,Bozeman,Montana,58,0,1068778
Deb Fischer,,Republican,"March 1, 1951",Rancher,Nebraska Legislature,"January 3, 2013",2024,Valentine,Nebraska,70,0,1934408
Ben Sasse,,Republican,"February 22, 1972","Management consultant
House staffer
Professor
University president
Assistant Secretary for Planning and Evaluation, HHS",None,"January 3, 2015",2026,Fremont,Nebraska,49,0,1934408
Catherine Cortez Masto,,Democratic,"March 29, 1964",Lawyer,Nevada Attorney General,"January 3, 2017",2022,Las Vegas,Nevada,57,1,3080156
Jacky Rosen,,Democratic,"August 2, 1957","Computer programmer
Software developer, designer, consultant[36][37]",U.S. House,"January 3, 2019",2024,Henderson[36],Nevada,63,0,3080156
Jeanne Shaheen,,Democratic,"January 28, 1947","Teacher
Entrepreneur","Governor of New Hampshire
New Hampshire Senate","January 3, 2009",2026,Madbury,New Hampshire,74,0,1359711
Maggie Hassan,,Democratic,"February 27, 1958",Lawyer,"Governor of New Hampshire
New Hampshire Senate","January 3, 2017",2022,Newfields,New Hampshire,63,1,1359711
Bob Menendez,,Democratic,"January 1, 1954",Lawyer,"U.S. House
New Jersey Senate
New Jersey General Assembly
Mayor of Union City
Union City Board of Education","January 17, 2006[q]",2024,North Bergen[38],New Jersey,67,1,8882190
Cory Booker,,Democratic,"April 27, 1969",Lawyer,"Mayor of Newark, New Jersey
Newark Municipal Council","October 31, 2013[r]",2026,Newark,New Jersey,52,1,8882190
Martin Heinrich,,Democratic,"October 17, 1971","Nonprofit organization executive
Public relations consultant","U.S. House
Albuquerque City Council","January 3, 2013",2024,Albuquerque,New Mexico,49,0,2096829
Ben Ray Luján,,Democratic,"June 7, 1972","Director of Administrative Services and
Chief Financial Officer, New Mexico Cultural Affairs Department
New Mexico Deputy State Treasurer","U.S. House
New Mexico Public Regulation Commission","January 3, 2021",2026,Santa Fe,New Mexico,48,0,2096829
Chuck Schumer,,Democratic,"November 23, 1950",Lawyer,"U.S. House
New York State Assembly","January 3, 1999",2022,Brooklyn,New York,70,1,19453561
Kirsten Gillibrand,,Democratic,"December 9, 1966","Lawyer
U.S. HUD special counsel",U.S. House,"January 26, 2009[s]",2024,Troy[40],New York,54,1,19453561
Richard Burr,,Republican,"November 30, 1955","Sales manager
Nonprofit organization executive",U.S. House,"January 3, 2005",2022,Winston-Salem,North Carolina,65,0,10488084
Thom Tillis,,Republican,"August 30, 1960",Business consultant,Speaker of the North Carolina House of Representatives,"January 3, 2015",2026,Huntersville,North Carolina,60,0,10488084
John Hoeven,,Republican,"March 13, 1957",Banker,Governor of North Dakota,"January 3, 2011",2022,Bismarck,North Dakota,64,0,762062
Kevin Cramer,,Republican,"January 21, 1961","State Tourism Director
State Economic Development and Finance Director
North Dakota Republican Party Chairman","U.S. House
North Dakota Public Service Commissioner","January 3, 2019",2024,Bismarck[41],North Dakota,60,0,762062
Sherrod Brown,,Democratic,"November 9, 1952",Teacher,"U.S. House
Ohio Secretary of State
Ohio House of Representatives","January 3, 2007",2024,Cleveland[42],Ohio,68,0,11689100
Rob Portman,,Republican,"December 19, 1955","Lawyer
U.S. Trade Representative
Director of the Office of Management and Budget",U.S. House,"January 3, 2011",2022,Terrace Park,Ohio,65,1,11689100
Jim Inhofe,,Republican,"November 17, 1934","Specialist Fourth Class, U.S. Army
Businessman
Real estate developer
Corporate executive","U.S. House
Mayor of Tulsa, Oklahoma
Oklahoma Senate
Oklahoma House of Representatives","November 16, 1994[t]",2026,Tulsa,Oklahoma,86,0,3956971
James Lankford,,Republican,"March 4, 1968","Teacher
Nonprofit program director",U.S. House,"January 3, 2015[u]",2022,Edmond,Oklahoma,53,0,3956971
Ron Wyden,,Democratic,"May 3, 1949","Teacher
Nonprofit organization executive",U.S. House,"February 5, 1996[v]",2022,Portland,Oregon,72,0,4217737
Jeff Merkley,,Democratic,"October 24, 1956","Nonprofit organization executive
CBO analyst, Defense Department",Oregon House Speaker,"January 3, 2009",2026,Portland,Oregon,64,0,4217737
Bob Casey Jr.,,Democratic,"April 13, 1960","Teacher
Lawyer","Pennsylvania Treasurer
Pennsylvania Auditor","January 3, 2007",2024,Scranton,Pennsylvania,61,1,12801989
Pat Toomey,,Republican,"November 17, 1961","Currency trader
Restaurant owner",U.S. House,"January 3, 2011",2022,Zionsville,Pennsylvania,59,0,12801989
Jack Reed,,Democratic,"November 12, 1949","Lawyer
Army Reserve officer
Army officer","U.S. House
Rhode Island Senate","January 3, 1997",2026,Jamestown,Rhode Island,71,1,1059361
Sheldon Whitehouse,,Democratic,"October 20, 1955","Lawyer
United States Attorney",Attorney General of Rhode Island,"January 3, 2007",2024,Newport,Rhode Island,65,1,1059361
Lindsey Graham,,Republican,"July 9, 1955","Lawyer
Air Force Reserve officer","U.S. House
South Carolina House of Representatives","January 3, 2003",2026,Seneca,South Carolina,65,1,5148714
Tim Scott,,Republican,"September 19, 1965","Insurance agent
Financial adviser","U.S. House
South Carolina House of Representatives
Charleston County Council","January 3, 2013[w]",2022,Charleston[43],South Carolina,55,0,5148714
John Thune,,Republican,"January 7, 1961","Nonprofit organization executive
State Railroad Director
South Dakota Republican Party Executive Director",U.S. House,"January 3, 2005",2022,Sioux Falls,South Dakota,60,0,884659
Mike Rounds,,Republican,"October 24, 1954",Businessman,"Governor of South Dakota
South Dakota Senate","January 3, 2015",2026,Fort Pierre,South Dakota,66,0,884659
Marsha Blackburn,,Republican,"June 6, 1952","Marketing consultant
Executive Director of the Tennessee Film, Entertainment, and Music Commission","U.S. House
Tennessee Senate","January 3, 2019",2024,Brentwood[44],Tennessee,68,0,6829174
Bill Hagerty,,Republican,"August 14, 1959","Management consultant
Partner, private equity investment firm
United States Ambassador to Japan
Tennessee Commissioner of Economic and Community Development",None,"January 3, 2021",2026,Nashville[45],Tennessee,61,0,6829174
John Cornyn,,Republican,"February 2, 1952",Lawyer,"San Antonio District Judge
Texas Attorney General
Texas Supreme Court
(Associate Justice)","December 2, 2002",2026,San Antonio,Texas,69,1,28995881
Ted Cruz,,Republican,"December 22, 1970","Lawyer
U.S. Assoc. Deputy AG
Texas Solicitor General",None,"January 3, 2013",2024,Houston,Texas,50,1,28995881
Mike Lee,,Republican,"June 4, 1971","Lawyer
Governor's general counsel
Assistant United States Attorney",None,"January 3, 2011",2022,Alpine,Utah,49,1,3205958
Mitt Romney,,Republican,"March 12, 1947","Businessman
2012 Republican presidential nominee",Governor of Massachusetts,"January 3, 2019",2024,Holladay[46],Utah,74,0,3205958
Patrick Leahy,,Democratic,"March 31, 1940",Lawyer,"State's Attorney, Chittenden County, Vermont","January 3, 1975",2022,Middlesex,Vermont,81,1,623989
Bernie Sanders,,Independent,"September 8, 1941","Filmmaker
Writer
Political activist","U.S. House
Mayor of Burlington, Vermont","January 3, 2007",2024,Burlington,Vermont,79,0,623989
Mark Warner,,Democratic,"December 15, 1954","Businessman
Venture capitalist
Virginia Democratic Party Chair",Governor of Virginia,"January 3, 2009",2026,Alexandria,Virginia,66,0,8535519
Tim Kaine,,Democratic,"February 26, 1958","Missionary
Lawyer
Teacher
Chair of the Democratic National Committee
2016 Democratic Vice Presidential Nominee","Governor of Virginia
Lt. Governor of Virginia
Mayor of Richmond, Virginia","January 3, 2013",2024,Richmond,Virginia,63,1,8535519
Patty Murray,,Democratic,"October 11, 1950","Teacher
Lobbyist","Washington Senate
Shoreline School Board","January 3, 1993",2022,Freeland[47],Washington,70,0,7614893
Maria Cantwell,,Democratic,"October 13, 1958",Marketing vice president,"U.S. House
Washington House of Representatives","January 3, 2001",2024,Edmonds,Washington,62,0,7614893
Joe Manchin,,Democratic,"August 24, 1947",Corporate executive,"Governor of West Virginia
Secretary of State of West Virginia
West Virginia Senate
West Virginia House of Delegates","November 15, 2010[x]",2024,Charleston,West Virginia,73,0,1792147
Shelley Moore Capito,,Republican,"November 26, 1953","College career counselor
Director, state Board of Regents educational information center","U.S. House
West Virginia House of Delegates","January 3, 2015",2026,Charleston,West Virginia,67,0,1792147
Ron Johnson,,Republican,"April 8, 1955","Accountant
Corporate executive",None,"January 3, 2011",2022,Oshkosh,Wisconsin,66,0,5822434
Tammy Baldwin,,Democratic,"February 11, 1962",Lawyer,"U.S. House
Wisconsin Assembly
Dane County, Wisconsin Board of Supervisors","January 3, 2013",2024,Madison,Wisconsin,59,1,5822434
John Barrasso,,Republican,"July 21, 1952","Orthopedic surgeon
Medical chief of staff
Nonprofit organization executive",Wyoming Senate,"June 25, 2007[y]",2024,Casper,Wyoming,68,0,578759
Cynthia Lummis,,Republican,"September 10, 1954",Lawyer,"U.S. House
Wyoming Treasurer
Wyoming Senate
Wyoming House of Representatives","January 3, 2021",2026,Cheyenne,Wyoming,66,1,578759
